,cell_0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6
che-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hlh-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crh-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ceh-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nob-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bed-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hlh-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y44A6D.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y48G1C.6,0.0,0.0,0.0,1.2280487,0.0,0.0,0.0
atf-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atf-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atf-7,0.9317928,1.7385256,2.3721979,0.0,0.0,0.0,0.0
zip-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jun-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zip-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zip-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crh-2,0.0,0.0,0.0,0.0,0.0,1.3491635,0.0
zip-11,0.4658964,0.0,1.1860989,0.0,3.0220609,0.0,0.9665571
hpo-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
die-1,4.6589637,6.9541025,1.1860989,3.684146,6.0441217,4.0474906,4.8327856
egl-43,1.8635856,0.0,0.0,0.0,0.0,0.0,0.0
ham-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lin-29,0.4658964,0.0,1.1860989,0.0,0.0,0.0,0.0
lin-48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lsy-2,3.7271712,4.346314,3.5582967,0.0,0.0,1.3491635,0.9665571
mnm-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
klf-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
odd-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pag-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pat-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ref-2,0.4658964,0.0,2.3721979,0.0,0.0,0.0,0.0
egrh-1,0.0,0.0,2.3721979,1.2280487,3.0220609,1.3491635,0.9665571
F10B5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lsy-27,44.726055,63.45619,61.677143,49.121944,60.44122,51.268215,54.127197
F52B5.7,1.8635856,0.8692628,3.5582967,2.4560974,0.0,1.3491635,2.8996713
lsl-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K11D2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ztf-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ztf-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T22C8.4,0.4658964,0.8692628,0.0,0.0,6.0441217,0.0,0.9665571
ztf-6,1.3976892,0.0,0.0,1.2280487,0.0,1.3491635,0.0
sptf-3,0.0,0.0,1.1860989,0.0,0.0,0.0,0.0
Y53H1A.2,0.0,0.8692628,0.0,0.0,0.0,0.0,0.0
slr-2,0.4658964,0.0,1.1860989,0.0,0.0,0.0,0.0
ztf-29,0.4658964,2.6077886,1.1860989,2.4560974,0.0,1.3491635,2.8996713
ztf-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
klu-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0310.2,0.4658964,0.0,1.1860989,2.4560974,0.0,1.3491635,0.0
C46E10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ztf-3,0.4658964,0.8692628,1.1860989,0.0,0.0,0.0,0.0
bcl-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ztf-16,0.4658964,0.0,0.0,0.0,0.0,0.0,0.0
klu-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
syd-9,0.9317928,0.8692628,0.0,0.0,0.0,0.0,0.0
bnc-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrt-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ztf-11,2.3294818,0.8692628,0.0,3.684146,0.0,2.698327,0.0
mex-6,0.4658964,0.0,0.0,0.0,0.0,0.0,0.0
mab-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dmd-6,0.9317928,0.0,0.0,0.0,0.0,0.0,0.0
dmd-4,0.0,0.8692628,0.0,0.0,0.0,0.0,0.0
dmd-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dmd-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dmd-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dmd-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efl-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fkh-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fkh-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
egl-18,3.2612748,19.993046,2.3721979,18.420729,9.066183,12.142472,15.464913
end-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
end-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
med-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ceh-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ceh-36,6.056653,0.0,1.1860989,2.4560974,0.0,0.0,4.8327856
ceh-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ceh-57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ceh-58,0.0,0.0,0.0,0.0,0.0,0.0,0.9665571
ceh-90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eyg-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ceh-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsf-1,0.0,0.0,1.1860989,1.2280487,0.0,0.0,0.0
madf-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unc-120,0.0,0.8692628,0.0,0.0,0.0,0.0,0.0
daf-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nhr-1,0.4658964,0.0,0.0,0.0,0.0,0.0,0.0
nhr-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nhr-7,0.0,0.0,0.0,1.2280487,0.0,0.0,0.9665571
nhr-4,0.4658964,0.0,0.0,0.0,0.0,0.0,0.0
nhr-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nhr-46,0.0,1.7385256,0.0,1.2280487,0.0,0.0,0.9665571
nhr-66,0.0,0.0,0.0,1.2280487,0.0,0.0,0.0
nhr-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nhr-104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nhr-120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nhr-60,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nhr-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nhr-54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nhr-216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pax-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mbr-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pros-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
daf-19,1.8635856,0.0,0.0,0.0,0.0,0.0,0.0
egl-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gei-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pop-1,0.4658964,0.0,0.0,0.0,6.0441217,2.698327,0.0
tbx-33,0.0,0.0,1.1860989,0.0,0.0,0.0,0.9665571
tbx-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tbx-43,0.0,0.8692628,0.0,0.0,0.0,0.0,0.0
fkh-7,1.3976892,1.7385256,1.1860989,1.2280487,0.0,1.3491635,0.9665571
tbx-2,0.4658964,0.0,0.0,0.0,0.0,0.0,0.0
hlh-25,0.0,0.0,1.1860989,0.0,0.0,0.0,0.0
lin-54,0.0,0.0,0.0,0.0,0.0,0.0,1.9331142
lin-28,0.0,1.7385256,1.1860989,1.2280487,3.0220609,0.0,0.0
nhr-132,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nhr-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cfi-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ces-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zip-8,0.4658964,0.0,0.0,0.0,0.0,0.0,0.0
unc-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eor-1,2.3294818,2.6077886,3.5582967,1.2280487,0.0,0.0,3.8662283
ztf-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ztf-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cey-1,3.2612748,0.8692628,2.3721979,1.2280487,9.066183,1.3491635,0.9665571
ceh-48,0.0,0.0,0.0,0.0,0.0,0.0,0.9665571
daf-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ceh-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irx-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ceh-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ceh-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ceh-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pal-1,0.0,0.8692628,0.0,0.0,0.0,0.0,0.0
pha-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unc-62,1.3976892,3.4770513,1.1860989,6.140243,6.0441217,12.142472,1.9331142
ceh-54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ceh-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unc-86,2.3294818,0.0,0.0,0.0,3.0220609,0.0,1.9331142
madf-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
madf-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nhr-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nhr-130,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nhr-10,0.0,0.8692628,0.0,0.0,3.0220609,0.0,0.0
nhr-84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nhr-145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nhr-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nhr-55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nhr-79,0.0,0.8692628,0.0,0.0,0.0,0.0,0.9665571
npax-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spe-44,0.0,3.4770513,0.0,1.2280487,0.0,0.0,0.0
sem-2,0.0,0.0,1.1860989,1.2280487,0.0,2.698327,0.0
athp-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elt-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mdl-1,0.4658964,0.0,1.1860989,0.0,0.0,0.0,0.0
blmp-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
egl-27,3.2612748,0.8692628,0.0,1.2280487,0.0,1.3491635,3.8662283
nhr-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpl-1,0.9317928,1.7385256,1.1860989,3.684146,3.0220609,1.3491635,0.9665571
egl-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hlh-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nhr-239,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atf-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M03D4.4,0.0,0.0,0.0,1.2280487,0.0,0.0,0.0
lin-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
odr-7,0.0,0.0,1.1860989,0.0,0.0,0.0,0.0
hlh-27,0.0,0.0,0.0,2.4560974,0.0,0.0,1.9331142
ceh-74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zfh-2,0.0,0.0,0.0,1.2280487,0.0,0.0,0.0
egl-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sma-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tbx-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdc-5L,5.1248603,6.9541025,7.1165934,6.140243,3.0220609,13.491635,0.9665571
fezf-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ref-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fkh-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pax-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efl-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpy-27,1.8635856,0.0,1.1860989,0.0,0.0,1.3491635,0.0
zip-7,1.3976892,0.0,0.0,0.0,0.0,0.0,0.0
elt-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nhr-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nhr-65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tbx-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hmg-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hlh-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efl-1,1.8635856,0.8692628,0.0,0.0,0.0,1.3491635,1.9331142
hlh-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xbp-1,1.8635856,0.8692628,1.1860989,0.0,0.0,2.698327,3.8662283
cebp-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atf-8,0.0,0.0,1.1860989,0.0,0.0,1.3491635,0.0
lin-15B,6.5225496,2.6077886,4.7443957,8.59634,3.0220609,1.3491635,6.7658997
