,cell_0,cell_1,cell_2,cell_3,cell_4
daf-16,0.0,0.0,0.0,0.0,0.0
ceh-7,0.0,0.0,0.0,0.0,0.0
irx-1,0.0,0.0,0.0,0.0,0.0
ceh-10,0.0,0.0,0.0,0.0,0.0
ceh-16,0.0,0.0,0.0,0.0,0.0
ceh-24,0.0,0.0,0.0,0.0,0.0
pal-1,0.0,0.0,0.0,1.2963444,0.0
pha-2,0.0,0.0,0.0,0.0,0.0
unc-62,0.0,3.8698025,5.1297836,0.0,1.7616489
ceh-54,0.0,0.0,0.0,0.0,0.0
ceh-9,0.0,0.0,0.0,0.0,0.0
unc-86,0.0,0.0,0.0,0.0,0.88082445
madf-5,0.0,0.0,0.0,0.0,0.0
madf-9,0.0,0.0,0.0,0.0,0.0
nhr-18,0.0,0.42997807,0.0,0.0,0.0
nhr-130,0.0,0.0,0.0,0.0,0.0
nhr-10,0.0,0.0,0.0,0.0,0.88082445
nhr-84,0.0,0.0,0.0,0.0,0.0
nhr-145,0.0,0.0,0.0,0.0,0.0
nhr-36,0.0,0.0,0.0,0.0,0.0
nhr-55,0.0,0.0,0.0,0.0,0.0
nhr-79,0.0,0.0,0.0,0.0,0.0
npax-1,0.0,0.0,0.0,0.0,0.0
spe-44,0.0,0.0,0.0,0.0,0.0
sem-2,0.0,0.0,0.0,0.0,0.0
athp-1,2.4553938,0.85995615,0.0,0.0,0.0
elt-3,0.0,0.0,0.0,0.0,0.0
mdl-1,0.0,0.0,0.0,0.0,0.0
blmp-1,0.0,0.0,0.0,0.0,0.0
egl-27,0.8184646,1.7199123,1.0259567,2.5926888,1.7616489
nhr-25,0.0,0.0,0.0,0.0,0.0
dpl-1,0.8184646,2.5798683,4.103827,2.5926888,1.7616489
egl-5,0.0,0.0,0.0,0.0,0.0
hlh-10,0.0,0.0,0.0,0.0,0.0
nhr-239,0.0,0.0,0.0,0.0,0.0
atf-5,0.0,0.0,0.0,0.0,0.0
M03D4.4,0.0,0.0,0.0,0.0,0.0
lin-31,0.0,0.0,0.0,0.0,0.0
odr-7,0.0,0.0,0.0,0.0,0.0
hlh-27,0.0,0.0,0.0,0.0,0.0
ceh-74,0.0,0.85995615,0.0,0.0,0.0
zfh-2,0.0,0.0,0.0,0.0,0.0
egl-38,0.0,0.0,0.0,0.0,0.0
sma-4,0.0,0.0,0.0,0.0,0.0
tbx-40,0.0,0.0,0.0,0.0,0.0
cdc-5L,10.640039,5.1597366,7.181697,5.1853776,5.2849464
fezf-1,0.0,0.0,0.0,0.0,0.0
ref-1,0.0,0.0,0.0,0.0,7.9274197
fkh-10,0.0,0.0,0.0,0.0,0.0
pax-1,0.0,0.0,0.0,0.0,0.0
efl-3,0.0,0.0,0.0,0.0,0.0
dpy-27,0.8184646,0.42997807,0.0,2.5926888,0.0
zip-7,0.0,0.0,0.0,0.0,0.88082445
elt-7,0.0,0.0,0.0,0.0,0.0
nhr-5,0.0,0.0,0.0,0.0,0.0
nhr-65,0.0,0.0,0.0,0.0,0.0
tbx-39,0.0,0.0,0.0,0.0,0.0
hmg-12,0.0,0.0,1.0259567,1.2963444,0.0
hlh-28,0.0,0.0,0.0,0.0,0.0
efl-1,2.4553938,2.1498904,1.0259567,1.2963444,1.7616489
hlh-16,0.0,0.0,0.0,0.0,0.88082445
xbp-1,0.0,2.1498904,0.0,1.2963444,0.0
cebp-1,0.0,0.0,0.0,0.0,0.0
atf-8,0.0,0.0,0.0,0.0,0.0
lin-15B,3.2738583,2.1498904,6.1557403,9.07441,2.6424732
